Batches,Method,Correlation_Time_Sec
10,Energy (Sigma^2),0.007691100239753723
10,Fisher Diag,0.008272400358691812
10,Fisher Full,0.008468200452625751
10,Gradient Magnitude,0.00866299937479198
10,Hessian Diag,0.009577600518241525
10,Hessian Full,0.02991129970178008
10,Magnitude (Sigma),0.008100000210106373
10,Taylor 1st-order,0.008638399885967374
10,True Loss Increase,0.008680500090122223
50,Energy (Sigma^2),0.008270699298009276
50,Fisher Diag,0.008289900375530124
50,Fisher Full,0.008571099722757936
50,Gradient Magnitude,0.008477000053972006
50,Hessian Diag,0.009259900311008096
50,Hessian Full,0.013194099999964237
50,Magnitude (Sigma),0.008620100328698754
50,Taylor 1st-order,0.008979799691587687
50,True Loss Increase,0.008714900817722082
100,Energy (Sigma^2),0.009067000355571508
100,Fisher Diag,0.009255600161850452
100,Fisher Full,0.009603200946003199
100,Gradient Magnitude,0.009046099614351988
100,Hessian Diag,0.00908419955521822
100,Hessian Full,0.013296299846842885
100,Magnitude (Sigma),0.009563000407069921
100,Taylor 1st-order,0.008611500030383468
100,True Loss Increase,0.008849999867379665
